Control Identifier,Control (or Control Enhancement) Name,Withdrawn,Privacy Baseline,"Security Control Baseline Low","Security Control Baseline Moderate","Security Control Baseline High"
AC-11,Device Lock,,,,x,x
AC-11(1),Device Lock | Pattern-hiding Displays,,,,x,x
AC-12,Session Termination,,,,x,x
AC-12(1),Session Termination | User-initiated Logouts,,,,,
AC-12(2),Session Termination | Termination Message,,,,,
AC-12(3),Session Termination | Timeout Warning Message,,,,,
AC-13,Supervision and Review — Access Control,w,,,,
AC-14,Permitted Actions Without Identification or Authentication,,,x,x,x
AC-14(1),Permitted Actions Without Identification or Authentication | Necessary Uses,w,,,,
AC-15,Automated Marking,w,,,,
AC-16,Security and Privacy Attributes,,,,,
AC-16(1),Security and Privacy Attributes | Dynamic Attribute Association,,,,,
AC-16(2),Security and Privacy Attributes | Attribute Value Changes by Authorized Individuals,,,,,
AC-16(3),Security and Privacy Attributes | Maintenance of Attribute Associations by System,,,,,
AC-16(4),Security and Privacy Attributes | Association of Attributes by Authorized Individuals,,,,,
AC-16(5),Security and Privacy Attributes | Attribute Displays on Objects to Be Output,,,,,
AC-16(6),Security and Privacy Attributes | Maintenance of Attribute Association,,,,,
AC-16(7),Security and Privacy Attributes | Consistent Attribute Interpretation,,,,,
AC-16(8),Security and Privacy Attributes | Association Techniques and Technologies,,,,,
AC-16(9),Security and Privacy Attributes | Attribute Reassignment — Regrading Mechanisms,,,,,
AC-16(10),Security and Privacy Attributes | Attribute Configuration by Authorized Individuals,,,,,
AC-17,Remote Access,,,x,x,x
AC-17(1),Remote Access | Monitoring and Control,,,,x,x
AC-17(2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,,,,x,x
AC-17(3),Remote Access | Managed Access Control Points,,,,x,x
AC-17(4),Remote Access | Privileged Commands and Access,,,,x,x
AC-17(5),Remote Access | Monitoring for Unauthorized Connections,w,,,,
AC-17(6),Remote Access | Protection of Mechanism Information,,,,,
AC-17(7),Remote Access | Additional Protection for Security Function Access,w,,,,
AC-17(8),Remote Access | Disable Nonsecure Network Protocols,w,,,,
AC-17(9),Remote Access | Disconnect or Disable Access,,,,,
AC-17(10),Remote Access | Authenticate Remote Commands,,,,,
AC-18,Wireless Access,,,x,x,x
AC-18(1),Wireless Access | Authentication and Encryption,,,,x,x
AC-18(2),Wireless Access | Monitoring Unauthorized Connections,w,,,,
AC-18(3),Wireless Access | Disable Wireless Networking,,,,x,x
AC-18(4),Wireless Access | Restrict Configurations by Users,,,,,x
AC-18(5),Wireless Access | Antennas and Transmission Power Levels,,,,,x
AC-19,Access Control for Mobile Devices,,,x,x,x
AC-19(1),Access Control for Mobile Devices | Use of Writable and Portable Storage Devices,w,,,,
AC-19(2),Access Control for Mobile Devices | Use of Personally Owned Portable Storage Devices,w,,,,
AC-19(3),Access Control for Mobile Devices | Use of Portable Storage Devices with No Identifiable Owner,w,,,,
AC-19(4),Access Control for Mobile Devices | Restrictions for Classified Information,,,,,
AC-19(5),Access Control for Mobile Devices | Full Device or Container-based Encryption,,,,x,x
AC-20,Use of External Systems,,,x,x,x
AC-20(1),Use of External Systems | Limits on Authorized Use,,,,x,x
AC-20(2),Use of External Systems | Portable Storage Devices — Restricted Use,,,,x,x
AC-20(3),Use of External Systems | Non-organizationally Owned Systems  — Restricted Use,,,,,
AC-20(4),Use of External Systems | Network Accessible Storage Devices — Prohibited Use,,,,,
AC-20(5),Use of External Systems | Portable Storage Devices — Prohibited Use,,,,,
AC-21,Information Sharing,,,,x,x
AC-21(1),Information Sharing | Automated Decision Support,,,,,
AC-21(2),Information Sharing | Information Search and Retrieval,,,,,
AC-22,Publicly Accessible Content,,,x,x,x
AC-23,Data Mining Protection,,,,,
AC-24,Access Control Decisions,,,,,
AC-24(1),Access Control Decisions | Transmit Access Authorization Information,,,,,
AC-24(2),Access Control Decisions | No User or Process Identity,,,,,
AC-25,Reference Monitor,,,,,
AT-1,Policy and Procedures,,x ,x,x,x
AT-2,Literacy Training and Awareness,,x ,x,x,x
AT-2(1),Literacy Training and Awareness | Practical Exercises,,,,,
AT-2(2),Literacy Training and Awareness | Insider Threat,,,X,x,x
AT-2(3),Literacy Training and Awareness | Social Engineering and Mining,,,,x,x
AT-2(4),Literacy Training and Awareness | Suspicious Communications and Anomalous System Behavior,,,,,
AT-2(5),Literacy Training and Awareness | Advanced Persistent Threat,,,,,
AT-2(6),Literacy Training and Awareness | Cyber Threat Environment,,,,,
AT-3,Role-based Training,,x ,x,x,x
AT-3(1),Role-based Training | Environmental Controls,,,,,
AT-3(2),Role-based Training | Physical Security Controls,,,,,
AT-3(3),Role-based Training | Practical Exercises,,,,,
AT-3(4),Role-based Training | Suspicious Communications and Anomalous System Behavior,w,,,,
AT-3(5),Role-based Training | Processing Personally Identifiable Information,,x ,,,
AT-4,Training Records,,x ,x,x,x
AT-5,Contacts with Security Groups and Associations,w,,,,
AT-6,Training Feedback,,,,,
AU-1,Policy and Procedures,,x ,x,x,x
AU-2,Event Logging,,x ,x,x,x
AU-2(1),Event Logging | Compilation of Audit Records from Multiple Sources,w,,,,
AU-2(2),Event Logging | Selection of Audit Events by Component,w,,,,
AU-2(3),Event Logging | Reviews and Updates,w,,,,
AU-2(4),Event Logging | Privileged Functions,w,,,,
AU-3,Content of Audit Records,,,x,x,x
AU-3(1),Content of Audit Records | Additional Audit Information,,,,x,x
AU-3(2),Content of Audit Records | Centralized Management of Planned Audit Record Content,w,,,,
AU-3(3),Content of Audit Records | Limit Personally Identifiable Information Elements,,x,,,
AU-4,Audit Log Storage Capacity,,,x,x,x
AU-4(1),Audit Log Storage Capacity | Transfer to Alternate Storage,,,,,
AU-5,Response to Audit Logging Process Failures,,,x,x,x
AU-5(1),Response to Audit Logging Process Failures | Storage Capacity Warning,,,,,x
AU-5(2),Response to Audit Logging Process Failures | Real-time Alerts,,,,,x
AU-5(3),Response to Audit Logging Process Failures | Configurable Traffic Volume Thresholds,,,,,
AU-5(4),Response to Audit Logging Process Failures | Shutdown on Failure,,,,,
AU-5(5),Response to Audit Logging Process Failures | Alternate Audit Logging Capability,,,,,
AU-6,"Audit Record Review, Analysis, and Reporting",,,x,x,x
AU-6(1),"Audit Record Review, Analysis, and Reporting | Automated Process Integration",,,,x,x
AU-6(2),"Audit Record Review, Analysis, and Reporting | Automated Security Alerts",w,,,,
AU-6(3),"Audit Record Review, Analysis, and Reporting | Correlate Audit Record Repositories",,,,x,x
AU-6(4),"Audit Record Review, Analysis, and Reporting | Central Review and Analysis",,,,,
AU-6(5),"Audit Record Review, Analysis, and Reporting | Integrated Analysis of Audit Records",,,,,x
AU-6(6),"Audit Record Review, Analysis, and Reporting | Correlation with Physical Monitoring",,,,,x
AU-6(7),"Audit Record Review, Analysis, and Reporting | Permitted Actions",,,,,
AU-6(8),"Audit Record Review, Analysis, and Reporting | Full Text Analysis of Privileged Commands",,,,,
AU-6(9),"Audit Record Review, Analysis, and Reporting | Correlation with Information from Nontechnical Sources",,,,,
AU-6(10),"Audit Record Review, Analysis, and Reporting | Audit Level Adjustment",w,,,,
AU-7,Audit Record Reduction and Report Generation,,,,x,x
AU-7(1),Audit Record Reduction and Report Generation | Automatic Processing,,,,x,x
AU-7(2),Audit Record Reduction and Report Generation | Automatic Sort and Search,w,,,,
AU-8,Time Stamps,,,x,x,x
AU-8(1),Time Stamps | Synchronization with Authoritative Time Source,w,,,,
AU-8(2),Time Stamps | Secondary Authoritative Time Source,w,,,,
AU-9,Protection of Audit Information,,,x,x,x
AU-9(1),Protection of Audit Information | Hardware Write-once Media,,,,,
AU-9(2),Protection of Audit Information | Store on Separate Physical Systems or Components,,,,,x
AU-9(3),Protection of Audit Information | Cryptographic Protection,,,,,x
AU-9(4),Protection of Audit Information | Access by Subset of Privileged Users,,,,x,x
AU-9(5),Protection of Audit Information | Dual Authorization,,,,,
AU-9(6),Protection of Audit Information | Read-only Access,,,,,
AU-9(7),Protection of Audit Information | Store on Component with Different Operating System,,,,,
AU-10,Non-repudiation,,,,,x
AU-10(1),Non-repudiation | Association of Identities,,,,,
AU-10(2),Non-repudiation | Validate Binding of Information Producer Identity,,,,,
AU-10(3),Non-repudiation | Chain of Custody,,,,,
AU-10(4),Non-repudiation | Validate Binding of Information Reviewer Identity,,,,,
AU-10(5),Non-repudiation | Digital Signatures,w,,,,
AU-11,Audit Record Retention,,x ,x,x,x
AU-11(1),Audit Record Retention | Long-term Retrieval Capability,,,,,
AU-12,Audit Record Generation,,,x,x,x
AU-12(1),Audit Record Generation | System-wide and Time-correlated Audit Trail,,,,,x
AU-12(2),Audit Record Generation | Standardized Formats,,,,,
AU-12(3),Audit Record Generation | Changes by Authorized Individuals,,,,,x
AU-12(4),Audit Record Generation | Query Parameter Audits of Personally Identifiable Information,,,,,
AU-13,Monitoring for Information Disclosure,,,,,
AU-13(1),Monitoring for Information Disclosure | Use of Automated Tools,,,,,
AU-13(2),Monitoring for Information Disclosure | Review of Monitored Sites,,,,,
AU-13(3),Monitoring for Information Disclosure | Unauthorized Replication of Information,,,,,
AU-14,Session Audit,,,,,
AU-14(1),Session Audit | System Start-up,,,,,
AU-14(2),Session Audit | Capture and Record Content,w,,,,
AU-14(3),Session Audit | Remote Viewing and Listening,,,,,
AU-15,Alternate Audit Logging Capability,w,,,,
AU-16,Cross-organizational Audit Logging,,,,,
AU-16(1),Cross-organizational Audit Logging | Identity Preservation,,,,,
AU-16(2),Cross-organizational Audit Logging | Sharing of Audit Information,,,,,
AU-16(3),Cross-organizational Audit Logging | Disassociability,,,,,
CA-1,Policy and Procedures,,x ,x,x,x
CA-2,Control Assessments,,x ,x,x,x
CA-2(1),Control Assessments | Independent Assessors,,,,x,x
CA-2(2),Control Assessments | Specialized Assessments,,,,,x
CA-2(3),Control Assessments | Leveraging Results from External Organizations,,,,,
CA-3,Information Exchange,,,x,x,x
CA-3(1),Information Exchange | Unclassified National Security System Connections,w,,,,
CA-3(2),Information Exchange | Classified National Security System Connections,w,,,,
CA-3(3),Information Exchange | Unclassified Non-national Security System Connections,w,,,,
CA-3(4),Information Exchange | Connections to Public Networks,w,,,,
CA-3(5),Information Exchange | Restrictions on External System Connections,w,,,,
CA-3(6),Information Exchange | Transfer Authorizations,,,,,x
CA-3(7),Information Exchange | Transitive Information Exchanges,,,,,
CA-4,Security Certification,w,,,,
CA-5,Plan of Action and Milestones,,x ,x,x,x
CA-5(1),Plan of Action and Milestones | Automation Support for Accuracy and Currency,,,,,
CA-6,Authorization,,x ,x,x,x
CA-6(1),Authorization | Joint Authorization — Intra-organization,,,,,
CA-6(2),Authorization | Joint Authorization — Inter-organization,,,,,
CA-7,Continuous Monitoring,,x ,x,x,x
CA-7(1),Continuous Monitoring | Independent Assessment,,,,x,x
CA-7(2),Continuous Monitoring | Types of Assessments,w,,,,
CA-7(3),Continuous Monitoring | Trend Analyses,,,,,
CA-7(4),Continuous Monitoring | Risk Monitoring,,x ,x,x,x
CA-7(5),Continuous Monitoring | Consistency Analysis,,,,,
CA-7(6),Continuous Monitoring | Automation Support for Monitoring,,,,,
CA-8,Penetration Testing,,,,,x
CA-8(1),Penetration Testing | Independent Penetration Testing Agent or Team,,,,,x
CA-8(2),Penetration Testing | Red Team Exercises,,,,,
CA-8(3),Penetration Testing | Facility Penetration Testing,,,,,
CA-9,Internal System Connections,,,x,x,x
CA-9(1),Internal System Connections | Compliance Checks,,,,,
CM-1,Policy and Procedures,,x ,x,x,x
CM-2,Baseline Configuration,,,x,x,x
CM-2(1),Baseline Configuration | Reviews and Updates,w,,,,
CM-2(2),Baseline Configuration | Automation Support for Accuracy and Currency,,,,x,x
CM-2(3),Baseline Configuration | Retention of Previous Configurations,,,,x,x
CM-2(4),Baseline Configuration | Unauthorized Software,w,,,,
CM-2(5),Baseline Configuration | Authorized Software,w,,,,
CM-2(6),Baseline Configuration | Development and Test Environments,,,,,
CM-2(7),Baseline Configuration | Configure Systems and Components for High-risk Areas,,,,x,x
CM-3,Configuration Change Control,,,,x,x
CM-3(1),"Configuration Change Control | Automated Documentation, Notification, and Prohibition of Changes",,,,,x
CM-3(2),"Configuration Change Control | Testing, Validation, and Documentation of Changes",,,,x,x
CM-3(3),Configuration Change Control | Automated Change Implementation,,,,,
CM-3(4),Configuration Change Control | Security and Privacy Representatives,,,,x,x
CM-3(5),Configuration Change Control | Automated Security Response,,,,,
CM-3(6),Configuration Change Control | Cryptography Management,,,,,x
CM-3(7),Configuration Change Control | Review System Changes,,,,,
CM-3(8),Configuration Change Control | Prevent or Restrict Configuration Changes,,,,,
CM-4,Impact Analyses,,x ,x,x,x
CM-4(1),Impact Analyses | Separate Test Environments,,,,,x
CM-4(2),Impact Analyses | Verification of Controls,,,,x,x
CM-5,Access Restrictions for Change,,,x,x,x
CM-5(1),Access Restrictions for Change | Automated Access Enforcement and Audit Records,,,,,x
CM-5(2),Access Restrictions for Change | Review System Changes,w,,,,
CM-5(3),Access Restrictions for Change | Signed Components,w,,,,
CM-5(4),Access Restrictions for Change | Dual Authorization,,,,,
CM-5(5),Access Restrictions for Change | Privilege Limitation for Production and Operation,,,,,
CM-5(6),Access Restrictions for Change | Limit Library Privileges,,,,,
CM-5(7),Access Restrictions for Change | Automatic Implementation of Security Safeguards,w,,,,
CM-6,Configuration Settings,,,x,x,x
CM-6(1),"Configuration Settings | Automated Management, Application, and Verification",,,,,x
CM-6(2),Configuration Settings | Respond to Unauthorized Changes,,,,,x
CM-6(3),Configuration Settings | Unauthorized Change Detection,w,,,,
CM-6(4),Configuration Settings | Conformance Demonstration,w,,,,
CM-7,Least Functionality,,,x,x,x
CM-7(1),Least Functionality | Periodic Review,,,,x,x
CM-7(2),Least Functionality | Prevent Program Execution,,,,x,x
CM-7(3),Least Functionality | Registration Compliance,,,,,
CM-7(4),Least Functionality | Unauthorized Software,,,,,
CM-7(5),Least Functionality | Authorized Software,,,,x,x
CM-7(6),Least Functionality | Confined Environments with Limited Privileges,,,,,
CM-7(7),Least Functionality | Code Execution in Protected Environments,,,,,
CM-7(8),Least Functionality | Binary or Machine Executable Code,,,,,
CM-7(9),Least Functionality | Prohibiting The Use of Unauthorized Hardware,,,,,
CM-8,System Component Inventory,,,x,x,x
CM-8(1),System Component Inventory | Updates During Installation and Removal,,,,x,x
CM-8(2),System Component Inventory | Automated Maintenance,,,,,x
CM-8(3),System Component Inventory | Automated Unauthorized Component Detection,,,,x,x
CM-8(4),System Component Inventory | Accountability Information,,,,,x
CM-8(5),System Component Inventory | No Duplicate Accounting of Components,w,,,,
CM-8(6),System Component Inventory | Assessed Configurations and Approved Deviations,,,,,
CM-8(7),System Component Inventory | Centralized Repository,,,,,
CM-8(8),System Component Inventory | Automated Location Tracking,,,,,
CM-8(9),System Component Inventory | Assignment of Components to Systems,,,,,
CM-9,Configuration Management Plan,,,,x,x
CM-9(1),Configuration Management Plan | Assignment of Responsibility,,,,,
CM-10,Software Usage Restrictions,,,x,x,x
CM-10(1),Software Usage Restrictions | Open-source Software,,,,,
CM-11,User-installed Software,,,x,x,x
CM-11(1),User-installed Software | Alerts for Unauthorized Installations,w,,,,
CM-11(2),User-installed Software | Software Installation with Privileged Status,,,,,
CM-11(3),User-installed Software | Automated Enforcement and Monitoring,,,,,
CM-12,Information Location,,,,x,x
CM-12(1),Information Location | Automated Tools to Support Information Location,,,,x,x
CM-13,Data Action Mapping,,,,,
CM-14,Signed Components,,,,,
CP-1,Policy and Procedures,,,x,x,x
CP-2,Contingency Plan,,,x,x,x
CP-2(1),Contingency Plan | Coordinate with Related Plans,,,,x,x
CP-2(2),Contingency Plan | Capacity Planning,,,,,x
CP-2(3),Contingency Plan | Resume Mission and Business Functions,,,,x,x
CP-2(4),Contingency Plan | Resume All Mission and Business Functions,w,,,,
CP-2(5),Contingency Plan | Continue Mission and Business Functions,,,,,x
CP-2(6),Contingency Plan | Alternate Processing and Storage Sites,,,,,
CP-2(7),Contingency Plan | Coordinate with External Service Providers,,,,,
CP-2(8),Contingency Plan | Identify Critical Assets,,,,x,x
CP-3,Contingency Training,,,x,x,x
CP-3(1),Contingency Training | Simulated Events,,,,,x
CP-3(2),Contingency Training | Mechanisms Used in Training Environments,,,,,
CP-4,Contingency Plan Testing,,,x,x,x
CP-4(1),Contingency Plan Testing | Coordinate with Related Plans,,,,x,x
CP-4(2),Contingency Plan Testing | Alternate Processing Site,,,,,x
CP-4(3),Contingency Plan Testing | Automated Testing,,,,,
CP-4(4),Contingency Plan Testing | Full Recovery and Reconstitution,,,,,
CP-4(5),Contingency Plan Testing | Self-challenge,,,,,
CP-5,Contingency Plan Update,w,,,,
CP-6,Alternate Storage Site,,,,x,x
CP-6(1),Alternate Storage Site | Separation from Primary Site,,,,x,x
CP-6(2),Alternate Storage Site | Recovery Time and Recovery Point Objectives,,,,,x
CP-6(3),Alternate Storage Site | Accessibility,,,,x,x
CP-7,Alternate Processing Site,,,,x,x
CP-7(1),Alternate Processing Site | Separation from Primary Site,,,,x,x
CP-7(2),Alternate Processing Site | Accessibility,,,,x,x
CP-7(3),Alternate Processing Site | Priority of Service,,,,x,x
CP-7(4),Alternate Processing Site | Preparation for Use,,,,,x
CP-7(5),Alternate Processing Site | Equivalent Information Security Safeguards,w,,,,
CP-7(6),Alternate Processing Site | Inability to Return to Primary Site,,,,,
CP-8,Telecommunications Services,,,,x,x
CP-8(1),Telecommunications Services | Priority of Service Provisions,,,,x,x
CP-8(2),Telecommunications Services | Single Points of Failure,,,,x,x
CP-8(3),Telecommunications Services | Separation of Primary and Alternate Providers,,,,,x
CP-8(4),Telecommunications Services | Provider Contingency Plan,,,,,x
CP-8(5),Telecommunications Services | Alternate Telecommunication Service Testing,,,,,
CP-9,System Backup,,,x,x,x
CP-9(1),System Backup | Testing for Reliability and Integrity,,,,x,x
CP-9(2),System Backup | Test Restoration Using Sampling,,,,,x
CP-9(3),System Backup | Separate Storage for Critical Information,,,,,x
CP-9(4),System Backup | Protection from Unauthorized Modification,w,,,,
CP-9(5),System Backup | Transfer to Alternate Storage Site,,,,,x
CP-9(6),System Backup | Redundant Secondary System,,,,,
CP-9(7),System Backup | Dual Authorization,,,,,
CP-9(8),System Backup | Cryptographic Protection,,,,x,x
CP-10,System Recovery and Reconstitution,,,x,x,x
CP-10(1),System Recovery and Reconstitution | Contingency Plan Testing,w,,,,
CP-10(2),System Recovery and Reconstitution | Transaction Recovery,,,,x,x
CP-10(3),System Recovery and Reconstitution | Compensating Security Controls,w,,,,
CP-10(4),System Recovery and Reconstitution | Restore Within Time Period,,,,,x
CP-10(5),System Recovery and Reconstitution | Failover Capability,w,,,,
CP-10(6),System Recovery and Reconstitution | Component Protection,,,,,
CP-11,Alternate Communications Protocols,,,,,
CP-12,Safe Mode,,,,,
CP-13,Alternative Security Mechanisms,,,,,
IA-1,Policy and Procedures,,,x,x,x
IA-2,Identification and Authentication (organizational Users),,,x,x,x
IA-2(1),Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,,,x,x,x
IA-2(2),Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,,,x,x,x
IA-2(3),Identification and Authentication (organizational Users) | Local Access to Privileged Accounts,w,,,,
IA-2(4),Identification and Authentication (organizational Users) | Local Access to Non-privileged Accounts,w,,,,
IA-2(5),Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication,,,,,x
IA-2(6),Identification and Authentication (organizational Users) | Access to Accounts — Separate Device,,,,,
IA-2(7),Identification and Authentication (organizational Users) | Access to Non-privileged Accounts — Separate Device,w,,,,
IA-2(8),Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,,,x,x,x
IA-2(9),Identification and Authentication (organizational Users) | Network Access to Non-privileged Accounts — Replay Resistant,w,,,,
IA-2(10),Identification and Authentication (organizational Users) | Single Sign-on,,,,,
IA-2(11),Identification and Authentication (organizational Users) | Remote Access — Separate Device,w,,,,
IA-2(12),Identification and Authentication (organizational Users) | Acceptance of PIV Credentials,,,x,x,x
IA-2(13),Identification and Authentication (organizational Users) | Out-of-band Authentication,,,,,
IA-3,Device Identification and Authentication,,,,x,x
IA-3(1),Device Identification and Authentication | Cryptographic Bidirectional Authentication,,,,,
IA-3(2),Device Identification and Authentication | Cryptographic Bidirectional Network Authentication,w,,,,
IA-3(3),Device Identification and Authentication | Dynamic Address Allocation,,,,,
IA-3(4),Device Identification and Authentication | Device Attestation,,,,,
IA-4,Identifier Management,,,x,x,x
IA-4(1),Identifier Management | Prohibit Account Identifiers as Public Identifiers,,,,,
IA-4(2),Identifier Management | Supervisor Authorization,w,,,,
IA-4(3),Identifier Management | Multiple Forms of Certification,w,,,,
IA-4(4),Identifier Management | Identify User Status,,,,x,x
IA-4(5),Identifier Management | Dynamic Management,,,,,
IA-4(6),Identifier Management | Cross-organization Management,,,,,
IA-4(7),Identifier Management | In-person Registration,w,,,,
IA-4(8),Identifier Management | Pairwise Pseudonymous Identifiers,,,,,
IA-4(9),Identifier Management | Attribute Maintenance and Protection,,,,,
IA-5,Authenticator Management,,,x,x,x
IA-5(1),Authenticator Management | Password-based Authentication,,,x,x,x
IA-5(2),Authenticator Management | Public Key-based Authentication,,,,x,x
IA-5(3),Authenticator Management | In-person or Trusted External Party Registration,w,,,,
IA-5(4),Authenticator Management | Automated Support for Password Strength Determination,w,,,,
IA-5(5),Authenticator Management | Change Authenticators Prior to Delivery,,,,,
IA-5(6),Authenticator Management | Protection of Authenticators,,,,x,x
IA-5(7),Authenticator Management | No Embedded Unencrypted Static Authenticators,,,,,
IA-5(8),Authenticator Management | Multiple System Accounts,,,,,
IA-5(9),Authenticator Management | Federated Credential Management,,,,,
IA-5(10),Authenticator Management | Dynamic Credential Binding,,,,,
IA-5(11),Authenticator Management | Hardware Token-based Authentication,w,,,,
IA-5(12),Authenticator Management | Biometric Authentication Performance,,,,,
IA-5(13),Authenticator Management | Expiration of Cached Authenticators,,,,,
IA-5(14),Authenticator Management | Managing Content of PKI Trust Stores,,,,,
